"continent","country","iso3","representativeness","hdi_catg","hdi","iron_type","zinc_type"
"Africa","Burkina Faso","BFA","Regional","Low",0.452,"Low absorption","Unrefined diet"
"Africa","Congo-Kinshasa","COD","Local","Low",0.48,"Low absorption","Unrefined diet"
"Africa","Ethiopia","ETH","National","Low",0.485,"Low absorption","Unrefined diet"
"Africa","Kenya","KEN","National","Medium",0.601,"Moderate absorption","Semi-unrefined diet"
"Africa","Mozambique","MOZ","Regional","Low",0.456,"Low absorption","Unrefined diet"
"Africa","Uganda","UGA","National","Low",0.544,"Low absorption","Unrefined diet"
"Africa","Zambia","ZMB","Regional","Medium",0.584,"Moderate absorption","Semi-unrefined diet"
"Americas","Brazil","BRA","National","High",0.765,"High absorption","Semi-refined diet"
"Americas","Canada","CAN","National","Very high",0.929,"High absorption","Refined diet"
"Americas","Ecuador","ECU","Local","High",0.759,"High absorption","Semi-refined diet"
"Americas","Guatemala","GTM","Local","Medium",0.663,"Moderate absorption","Semi-unrefined diet"
"Americas","Mexico","MEX","National","High",0.779,"High absorption","Semi-refined diet"
"Americas","United States","USA","National","Very high",0.926,"High absorption","Refined diet"
"Asia","Bangladesh","BGD","Local","Medium",0.632,"Moderate absorption","Semi-unrefined diet"
"Asia","China","CHN","National","High",0.761,"High absorption","Semi-refined diet"
"Asia","Laos","LAO","National","Medium",0.613,"Moderate absorption","Semi-unrefined diet"
"Asia","Malaysia","MYS","Local","Very high",0.81,"High absorption","Refined diet"
"Asia","Pakistan","PAK","Local","Medium",0.557,"Moderate absorption","Semi-unrefined diet"
"Asia","Philippines","PHL","National","High",0.718,"High absorption","Semi-refined diet"
"Europe","Belgium","BEL","National","Very high",0.931,"High absorption","Refined diet"
"Europe","Bosnia & Herzegovina","BIH","National","High",0.78,"High absorption","Semi-refined diet"
"Europe","Bulgaria","BGR","National","Very high",0.816,"High absorption","Refined diet"
"Europe","Denmark","DNK","National","Very high",0.94,"High absorption","Refined diet"
"Europe","Estonia","EST","National","Very high",0.892,"High absorption","Refined diet"
"Europe","Germany","DEU","Local","Very high",0.947,"High absorption","Refined diet"
"Europe","Italy","ITA","National","Very high",0.892,"High absorption","Refined diet"
"Europe","Netherlands","NLD","National","Very high",0.944,"High absorption","Refined diet"
"Europe","Portugal","PRT","National","Very high",0.864,"High absorption","Refined diet"
"Europe","Romania","ROU","National","Very high",0.828,"High absorption","Refined diet"
"Europe","Sweden","SWE","National","Very high",0.945,"High absorption","Refined diet"
