"country","nutrient","sex","mu_div_ear","mu_div_ear_cap"
"Bangladesh","Carbohydrates","Females",3.38596214086472,3.38596214086472
"Bulgaria","Copper","Females",3.34387608911661,3.34387608911661
"Bulgaria","Copper","Males",3.45386181536638,3.45386181536638
"Bulgaria","Iodine","Females",137.507761124059,5
"Bulgaria","Iodine","Males",21.5453506691872,5
"Bulgaria","Niacin","Females",3.4338738183547,3.4338738183547
"Bulgaria","Niacin","Males",3.56756695270327,3.56756695270327
"Bulgaria","Selenium","Females",16.063997011398,5
"Bulgaria","Selenium","Males",21.4693249416427,5
"Bulgaria","Vitamin A (RAE)","Children",3.07737893819055,3.07737893819055
"Bulgaria","Vitamin A (RAE)","Females",3.13254132707575,3.13254132707575
"Bulgaria","Vitamin A (RAE)","Males",3.18328400381181,3.18328400381181
"Bulgaria","Vitamin B12","Females",3.27866224435225,3.27866224435225
"Bulgaria","Vitamin B12","Males",3.38947878793476,3.38947878793476
"Bulgaria","Vitamin C","Females",5.23476069154387,5
"Bulgaria","Vitamin C","Males",5.74290899108912,5
"Canada","Niacin","Males",3.74889262987179,3.74889262987179
"China","Iron","Females",3.1551691540557,3.1551691540557
"China","Iron","Males",4.0386096811263,4.0386096811263
"Congo-Kinshasa 1","Vitamin A (RAE)","Females",8.81067743096495,5
"Congo-Kinshasa 2","Vitamin A (RAE)","Females",10.9740185832188,5
"Denmark","Chromium","Females",1734069.5852246,5
"Denmark","Chromium","Males",1621611.63903768,5
"Denmark","Copper","Females",6.14641220297698,5
"Denmark","Copper","Males",5.47965322867327,5
"Denmark","Niacin","Males",3.34269554233627,3.34269554233627
"Denmark","Vitamin B12","Males",4.00765547835934,4.00765547835934
"Estonia","Vitamin B12","Males",3.61404560986358,3.61404560986358
"Ethiopia","Carbohydrates","Females",3.06453595742501,3.06453595742501
"Germany","Vitamin B12","Males",3.30211277267077,3.30211277267077
"Guatemala","Carbohydrates","Females",3.61122427099074,3.61122427099074
"Italy","Vitamin B12","Males",3.11207866661424,3.11207866661424
"Kenya","Vitamin C","Males",3.31485878064781,3.31485878064781
"Laos","Carbohydrates","Males",3.1602367234441,3.1602367234441
"Philippines","Carbohydrates","Females",3.17209554345687,3.17209554345687
"Uganda","Carbohydrates","Females",4.53968744458862,4.53968744458862
"United States","Vitamin B12","Males",3.28259056621299,3.28259056621299
"Zambia","Carbohydrates","Females",3.81308450206258,3.81308450206258
